id,message,urgency_level,urgency_score,service_type,timestamp
431,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,EMS,2025-09-21T20:15:59.043Z
432,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-09-22T01:32:32.880Z
433,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,EMS,2025-09-22T11:24:45.236Z
434,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-09-26T15:49:45.451Z
435,"I've just been stabbed in the stomach during an assault at shopping mall, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,Police,2025-09-26T16:07:35.906Z
436,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,On-call doctor,2025-09-15T13:58:28.000Z
437,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,On-call doctor,2025-09-25T09:37:36.801Z
438,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Police,2025-10-09T21:53:54.081Z
439,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-09-22T23:55:17.119Z
440,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Fire Department,2025-10-01T19:10:07.421Z
441,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Fire Department,2025-09-12T22:09:52.682Z
442,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-09-10T21:46:08.328Z
443,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,EMS,2025-09-16T21:15:38.968Z
444,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,EMS,2025-09-16T09:51:19.332Z
445,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Fire Department,2025-09-21T18:24:59.493Z
446,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Medical advice,2025-10-06T23:43:50.679Z
447,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,N/A,2025-09-28T03:29:47.597Z
448,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-11T14:19:54.525Z
449,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,On-call doctor,2025-09-30T06:06:30.409Z
450,"I'm witnessing a serious accident on Highway I-95, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-15T17:35:19.183Z
451,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Medical advice,2025-09-16T17:17:08.367Z
452,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Fire Department,2025-10-06T09:13:35.552Z
453,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-09-20T12:56:03.274Z
454,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,EMS,2025-09-10T21:14:45.453Z
455,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Fire Department,2025-09-11T11:17:54.807Z
456,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-10-05T10:47:55.701Z
457,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-09-17T09:34:07.845Z
458,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Police,2025-09-26T12:44:51.040Z
459,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Police,2025-10-07T01:26:06.865Z
460,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-10-10T06:02:47.431Z
461,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Health hotline,2025-10-04T14:27:21.969Z
462,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Local police,2025-09-14T01:06:35.925Z
463,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-14T08:19:10.127Z
464,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,Community line,2025-09-26T08:37:20.765Z
465,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Local police,2025-09-21T06:08:59.752Z
466,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-09-15T00:53:22.432Z
467,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-09-13T21:47:01.111Z
468,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,N/A,2025-10-10T16:07:33.180Z
469,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,Police,2025-09-12T21:38:44.670Z
470,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-10-09T03:55:08.034Z
471,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,On-call doctor,2025-09-22T22:28:36.749Z
472,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Fire Department,2025-10-06T22:39:04.103Z
473,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,Community line,2025-09-15T12:37:02.474Z
474,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Fire Department,2025-09-28T18:39:43.932Z
475,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Fire Department,2025-10-07T06:19:28.967Z
476,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-15T14:30:42.361Z
477,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Fire Department,2025-09-13T21:12:00.906Z
478,"I'm witnessing a serious accident on Highway I-95, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-17T01:02:53.203Z
479,"I just had a motorcycle accident on County Road 120, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-10-06T21:47:51.461Z
480,"Hello yes, I'm at underground parking, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-16T14:27:37.574Z
481,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-10-03T19:35:00.530Z
482,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Fire Department,2025-09-27T16:06:33.694Z
483,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,N/A,2025-10-09T08:11:22.343Z
484,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,EMS,2025-09-22T04:24:34.265Z
485,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Police,2025-09-21T18:15:58.360Z
486,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,Fire Department,2025-09-18T15:00:34.073Z
487,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,General info,2025-10-04T13:39:05.527Z
488,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Health hotline,2025-10-04T13:50:06.645Z
489,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Fire Department,2025-10-04T11:30:38.608Z
490,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Local police,2025-09-26T08:18:02.336Z
491,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-29T04:16:03.594Z
492,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,On-call doctor,2025-09-17T04:51:37.208Z
493,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Health hotline,2025-09-17T14:31:31.216Z
494,"I'm witnessing a serious accident on County Road 120, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-29T12:10:06.741Z
495,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,EMS,2025-09-11T19:51:39.244Z
496,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,N/A,2025-09-22T07:32:16.418Z
497,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,N/A,2025-09-18T02:59:20.104Z
498,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-10-09T06:38:11.006Z
499,"Hello yes, I'm at 34 Oak Street, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-21T15:48:45.928Z
500,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-08T17:24:34.843Z
501,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Local police,2025-10-06T09:07:33.286Z
502,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Medical advice,2025-09-13T10:16:54.763Z
503,"I just had a motorcycle accident on ring road, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-09-24T06:11:49.164Z
504,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-09-12T18:42:49.520Z
505,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-29T03:27:24.151Z
506,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,On-call doctor,2025-09-16T02:35:42.941Z
507,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,EMS,2025-09-20T02:19:16.090Z
508,"I just had a motorcycle accident on Highway I-95, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-09-27T20:27:05.914Z
509,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Fire Department,2025-09-11T04:42:17.437Z
510,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-09-15T04:44:01.404Z
511,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Fire Department,2025-09-26T21:21:13.655Z
512,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,EMS,2025-10-09T16:20:47.155Z
513,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Fire Department,2025-09-14T07:21:39.549Z
514,"I just had a motorcycle accident on County Road 120, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-10-10T08:18:29.703Z
515,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Police,2025-09-29T14:25:28.351Z
516,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Medical advice,2025-10-04T18:26:32.756Z
517,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Police,2025-09-30T07:04:31.411Z
518,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-09-16T05:47:56.373Z
519,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-09-18T06:47:30.300Z
520,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Health hotline,2025-10-01T01:30:47.892Z
521,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-09-24T02:58:03.333Z
522,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-09-25T18:19:20.735Z
523,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,N/A,2025-09-27T19:16:47.894Z
524,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,On-call doctor,2025-10-07T19:25:26.758Z
525,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Police,2025-09-29T13:36:22.216Z
526,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,Community line,2025-09-26T01:38:29.400Z
527,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-09-15T19:10:47.463Z
528,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Local police,2025-10-05T09:33:20.313Z
529,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Fire Department,2025-10-09T14:46:11.798Z
530,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Medical advice,2025-10-10T09:03:34.943Z
531,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Fire Department,2025-09-27T21:43:34.793Z
532,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-10-03T09:01:56.284Z
533,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Police,2025-10-09T02:13:12.059Z
534,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-13T15:41:10.376Z
535,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,N/A,2025-09-21T21:11:40.587Z
536,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Health hotline,2025-10-05T07:14:49.296Z
537,"I'm witnessing a serious accident on Route 66 near Phoenix, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-17T15:11:33.128Z
538,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,On-call doctor,2025-10-04T21:28:21.108Z
539,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Local police,2025-10-08T08:36:50.062Z
540,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Local police,2025-10-05T04:12:47.170Z
541,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Local police,2025-09-24T23:57:16.759Z
542,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-23T22:41:03.228Z
543,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-10-03T05:05:38.261Z
544,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Medical advice,2025-09-17T21:40:12.777Z
545,"Hello yes, I'm at underground parking, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Fire Department,2025-09-13T18:48:17.219Z
546,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Health hotline,2025-09-13T22:28:13.440Z
547,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-10-05T21:16:28.377Z
548,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,Community line,2025-09-30T20:47:43.764Z
549,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,General info,2025-10-03T17:55:55.143Z
550,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,On-call doctor,2025-10-09T23:06:12.454Z
551,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,EMS,2025-09-19T19:00:34.798Z
552,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-09-16T20:44:28.577Z
553,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-10-06T15:30:35.291Z
554,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Fire Department,2025-09-28T01:57:30.901Z
555,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,EMS,2025-09-29T10:09:16.418Z
556,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,EMS,2025-09-11T09:52:48.881Z
557,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Police,2025-09-17T03:17:56.696Z
558,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-13T03:50:41.431Z
559,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-10-06T12:41:08.825Z
560,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-10-06T11:13:41.855Z
561,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-09-30T23:21:06.312Z
562,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Medical advice,2025-09-21T03:01:20.500Z
563,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-28T21:33:34.172Z
564,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-10-06T14:16:31.666Z
565,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Police,2025-09-19T04:57:47.496Z
566,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Health hotline,2025-10-04T20:58:01.007Z
567,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Medical advice,2025-09-12T02:30:01.778Z
568,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,N/A,2025-09-11T21:49:32.023Z
569,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Police,2025-09-19T16:51:55.760Z
570,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-10-05T19:22:47.461Z
571,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Medical advice,2025-09-30T04:50:26.588Z
572,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-10-02T23:34:33.045Z
573,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-13T15:56:24.776Z
574,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-10-04T14:31:37.512Z
575,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Fire Department,2025-10-09T06:04:23.282Z
576,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Medical advice,2025-10-07T05:03:13.467Z
577,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Medical advice,2025-09-11T12:06:22.097Z
578,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Fire Department,2025-09-12T12:53:47.240Z
579,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,EMS,2025-10-02T04:20:01.655Z
580,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,Police,2025-09-30T00:52:20.573Z
581,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-09-26T08:00:03.477Z
582,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-27T09:07:48.111Z
583,"I just had a motorcycle accident on Route 66 near Phoenix, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-10-01T06:16:27.320Z
584,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-09-17T11:02:15.852Z
585,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,N/A,2025-09-16T17:54:45.161Z
586,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,On-call doctor,2025-09-28T22:40:47.601Z
587,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,EMS,2025-10-03T17:22:36.385Z
588,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-10-03T06:04:08.555Z
589,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-17T02:21:20.922Z
590,"Hello yes, I'm at underground parking, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-28T15:09:56.733Z
591,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,General info,2025-10-06T16:50:38.948Z
592,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,Community line,2025-09-14T21:51:14.781Z
593,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-09-13T01:50:43.690Z
594,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-09-27T16:15:11.272Z
595,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Police,2025-09-29T02:11:21.184Z
596,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Police,2025-09-24T21:52:32.535Z
597,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Fire Department,2025-09-23T09:03:33.684Z
